client_id,num_items,label_0,label_1,label_2,label_3,label_4,label_5,label_6,label_7,label_8,label_9
part_0,4607,0.5997395268070328,0.035380942044714564,0.0,0.0,0.028000868243976556,0.21163446928586932,0.0,0.0,0.12524419361840677,0.0
part_1,4632,0.0,0.8795336787564767,0.0,0.0,0.09348013816925733,0.0,0.0,0.0,0.0002158894645941278,0.02677029360967185
part_10,4717,0.0,0.0,0.0,0.0,0.00021199915200339198,0.0,0.0,0.0,0.006571973712105152,0.9932160271358914
part_11,5065,0.0,0.003948667324777887,0.0009871668311944718,0.9871668311944719,0.00019743336623889436,0.0,0.003948667324777887,0.00019743336623889436,0.0033563672260612043,0.00019743336623889436
part_2,7513,0.0,0.0,0.3432716624517503,0.0,0.0,0.0,0.6567283375482497,0.0,0.0,0.0
part_3,240,0.0,0.0,0.0,0.0,0.14166666666666666,0.32916666666666666,0.0,0.0,0.05416666666666667,0.475
part_4,495,0.0,0.8909090909090909,0.0,0.0,0.0,0.0,0.08888888888888889,0.0,0.0,0.020202020202020204
part_5,4668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
part_6,3972,0.0,0.0,0.0062940584088620345,0.0,0.00025176233635448137,0.9934541792547835,0.0,0.0,0.0,0.0
part_7,5330,0.41969981238273923,0.05666041275797373,0.4485928705440901,0.0,0.0001876172607879925,0.0,0.000375234521575985,0.06210131332082552,0.0,0.012382739212007506
part_8,4395,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
part_9,4366,0.0,0.0,0.0,0.0,0.0011452130096197893,0.0,0.0,0.0,0.9988547869903802,0.0
